description,category,merchant_base
PMT Kraken purchase EU #221,Investments,Kraken purchase
Achizitie Selgros ROM (RO),Groceries,Selgros
PMT SPOTIFY FAMILY Iasi (RO),Subscriptions,Spotify Family
Pizzeria 4 Amici Bucuresti #221,Restaurants,Pizzeria 4 Amici
Cumparare Farmacia Catena Center #14,Health,Farmacia Catena
Garantie chirie Aviatorilor #14,Housing,Garantie chirie
Cumparare Bolt Romania Promenada RO,Transport,Bolt Romania
POS OLX IMOBILIARE Mall Vitan 12345,Housing,OLX Imobiliare
Plata POS Cinema City AFI ROM RO,Entertainment,Cinema City AFI
Plata cu cardul COMPENSATIE SPORT 7CARD Center RO,Salary,Compensatie sport 7card
Douglas magazin Online AUT:887412,Other,Douglas magazin
POS Equity buy MSFT AFI Cotroceni RO,Investments,Equity buy MSFT
POS Google Storage Park Lake #001,Subscriptions,Google Storage
Plata POS PUBUL TRAFIC Downtown AUT:887412,Restaurants,Pubul Trafic
PMT BurgerFest Center 12345,Restaurants,BurgerFest
Cumparare DISCORD NITRO Iasi 12345,Entertainment,Discord Nitro
POS OTP BANK SCHIMB Baneasa #4321,Transfer,OTP Bank schimb
DM RO RO,Groceries,DM
Plata cu cardul GETYOURGUIDE TUR Oradea (RO),Travel,GetYourGuide tur
PMT POS BONUS PERFORMANTA Q1 Cotroceni AUT:887412,Salary,Bonus performanta Q1
Achizitie COOP RO RID:34521,Groceries,Coop
Cumparare Trenitalia Galati 12345,Transport,Trenitalia
Cumparare Auchan Drive Promenada RO,Groceries,Auchan Drive
PURCHASE BurgerFest Bucharest RO,Restaurants,BurgerFest
POS Fresca Baneasa (RO),Restaurants,Fresca
Cumparare Burger Van Branch 12 AUT:887412,Restaurants,Burger Van
PMT POS asigurare travel city Baneasa,Travel,Asigurare travel City
PMT Sala fitness 7card Drumul Taberei AUT:887412,Health,Sala fitness 7card
Achizitie Gift card Ploiesti #4321,Other,Gift card
POS BERE SI GRILL Bucharest RO,Restaurants,Bere si grill
vrbo Drumul Taberei 12345,Travel,Vrbo
Cumparare Apa Nova Bucuresti Sibiu AUT:887412,Utilities,Apa Nova Bucuresti
Carrefour Market Center (RO),Groceries,Carrefour Market
Plata chirie iunie Promenada (RO),Housing,Plata chirie iunie
Plata cu cardul PLATA CHIRIE IULIE Aviatorilor 12345,Housing,Plata chirie iulie
PMT POS GETYOURGUIDE TUR Ploiesti #4321,Travel,GetYourGuide tur
Plata cu cardul STEAM AFI Cotroceni #4321,Entertainment,Steam
Plata cu cardul iaBilet Floreasca (RO),Entertainment,iaBilet
PMT POS profi city Mall Vitan #14,Groceries,Profi City
Plata POS linear app RO #4321,Subscriptions,Linear App
Cumparare salariu luna iunie Floreasca 12345,Salary,Salariu luna iunie
POS Citire contor Drumul Taberei RID:34521,Utilities,Citire contor
Plata cu cardul BOLT Promenada #001,Transport,Bolt
Plata cu cardul TAXI PELICANUL RO #4321,Transport,Taxi Pelicanul
Achizitie TEMU ORDER Center,Other,Temu order
Achizitie chipotle mexican grill Bucharest 12345,Restaurants,Chipotle Mexican Grill
Achizitie Pluralsight Skills Baneasa #001,Education,Pluralsight Skills
Achizitie SEPA CREDIT TRANSFER Cotroceni #001,Transfer,SEPA Credit Transfer
PMT POS teatrul national Oradea,Entertainment,Teatrul National
PMT POS apaserv brasov Cluj (RO),Utilities,ApaServ Brasov
ISERVICE APPLE Brasov 12345,Other,iService Apple
enel energie EU #14,Utilities,Enel Energie
POS Pensiune Bran Downtown #14,Travel,Pensiune Bran
POS origo coffee Mall Vitan #001,Restaurants,Origo Coffee
Cumparare Transfer in lei EU #221,Transfer,Transfer in lei
Cumparare Vivo Restaurant Online #001,Restaurants,Vivo Restaurant
Achizitie EPIC GAMES STORE Center #4321,Entertainment,Epic Games Store
PMT POS Chipotle Mexican Grill RO #14,Restaurants,Chipotle Mexican Grill
Achizitie Restaurant centrul vechi Pipera (RO),Restaurants,Restaurant centrul vechi
PURCHASE Treehouse Aviatorilor #221,Education,Treehouse
etf eunl Pipera (RO),Investments,ETF EUNL
POS Sushi Master Promenada AUT:887412,Restaurants,Sushi Master
Achizitie MEDIC DE FAMILIE Sun Plaza #001,Health,Medic de familie
POS CURATENIE CASA Timisoara #4321,Housing,Curatenie casa
Cumparare DM Mall Vitan RID:34521,Groceries,DM
Coffee Project Cluj RID:34521,Restaurants,Coffee Project
PMT SUSHI NOW ROM #221,Restaurants,Sushi Now
Achizitie Plata online generic ROM #221,Other,Plata online generic
Cumparare revolut stocks Branch 12 RO,Investments,Revolut stocks
Apa Nova Sun Plaza #221,Utilities,Apa Nova
Plata cu cardul Excursie Italia Branch 12 #14,Travel,Excursie Italia
PMT Patiserie Boulangerie Store 04,Other,Patiserie Boulangerie
Achizitie DigitalOcean Droplet Bucharest (RO),Subscriptions,DigitalOcean Droplet
Plata cu cardul LIBRARIA DIVERTA Branch 12 AUT:887412,Education,Libraria Diverta
Plata POS VIVO RESTAURANT Vitan,Restaurants,Vivo Restaurant
PMT POS Starbucks Promenada AUT:887412,Restaurants,Starbucks
PURCHASE ADMINISTRATOR BLOC 12 Bucharest #4321,Housing,Administrator bloc 12
Plata cu cardul aquapark therme Mall #001,Entertainment,Aquapark Therme
Plata cu cardul Babbel Learning Bucharest RO,Education,Babbel Learning
Plata cu cardul Aquatim Timisoara Sibiu,Utilities,Aquatim Timisoara
PURCHASE roblox subscription Drumul Taberei (RO),Entertainment,Roblox subscription
Achizitie RENT JUNE Mall Vitan #001,Housing,RENT JUNE
Metro Cash & Carry Bucharest #4321,Groceries,Metro Cash & Carry
Plata POS trattoria buongiorno Online #001,Restaurants,Trattoria Buongiorno
Plata POS TRANSFER ING TO REVOLUT Baneasa AUT:887412,Transfer,Transfer ING to Revolut
medical center bucuresti Timisoara RID:34521,Health,Medical Center Bucuresti
POS STRADIVARIUS Timisoara 12345,Other,Stradivarius
POS Kaufland Online Branch 12 (RO),Groceries,Kaufland Online
POS Selgros Constanta RO,Groceries,Selgros
Achizitie joc pc steam Sun Plaza RO,Entertainment,Joc PC Steam
PURCHASE sncf RO AUT:887412,Transport,SNCF
YOUTUBE PREMIUM Timisoara AUT:887412,Subscriptions,YouTube Premium
Asigurare apartament Ploiesti AUT:887412,Housing,Asigurare apartament
Plata cu cardul PROTONVPN Mall Vitan,Subscriptions,ProtonVPN
REAL ESTATE REIT Mall Vitan AUT:887412,Investments,Real estate REIT
POS AWS Free Tier Timisoara RO,Subscriptions,AWS Free Tier
PMT POS MENTENANTA LIFT Bucharest #221,Housing,Mentenanta lift
UDEMY COURSE Oradea #4321,Education,Udemy Course
Plata cu cardul AVIS RENT Online (RO),Travel,Avis Rent
Cumparare E.ON Baneasa 12345,Utilities,E.ON
Cumparare ÎNTREȚINERE CASA RO #001,Housing,Întreținere casa
PURCHASE GOG.com Oradea #221,Entertainment,GOG.com
mega image Downtown (RO),Groceries,Mega Image
Cumparare XPRESS MARKET Vitan (RO),Groceries,XPRESS Market
POS AVIS RENT Aviatorilor,Travel,Avis Rent
Achizitie TRANSFER ING TO REVOLUT Branch 12 RO,Transfer,Transfer ING to Revolut
POS KAYAK Cluj #001,Travel,Kayak
Plata cu cardul JYSK mobilier Mall Vitan,Other,JYSK mobilier
Plata POS VODAFONE CABLE Downtown RID:34521,Utilities,Vodafone Cable
PMT POS PLURALSIGHT SKILLS Galati (RO),Education,Pluralsight Skills
Hotel Hilton Sibiu Iasi #14,Travel,Hotel Hilton Sibiu
PMT Bijuterii B&D Pipera (RO),Other,Bijuterii B&D
iCloud Mall #14,Subscriptions,iCloud
Achizitie Burgerista Online RID:34521,Restaurants,Burgerista
PMT POS WENDY'S Online RO,Restaurants,Wendy's
PMT ProtonVPN Cotroceni #4321,Subscriptions,ProtonVPN
Cumparare SALUBRIZARE BUCURESTI Galati RID:34521,Utilities,Salubrizare Bucuresti
Logoped sedinta RO #001,Health,Logoped sedinta
Achizitie Rosetta Stone Bucuresti #14,Education,Rosetta Stone
Plata cu cardul Trattoria il Calcio Mall Vitan,Restaurants,Trattoria il Calcio
Cumparare RTEC CONSTANTA Sun Plaza 12345,Transport,RTEC Constanta
Plata POS Reparatii instalatie sanitara Bucharest,Housing,Reparatii instalatie sanitara
TV Cablu Romtelecom Mall #14,Utilities,TV Cablu Romtelecom
PMT XBOX LIVE Brasov,Entertainment,Xbox Live
PMT POS spartan Branch 12 12345,Restaurants,Spartan
PMT freenow ROM RID:34521,Transport,FreeNow
Cumparare Wendy's Galati #001,Restaurants,Wendy's
PMT POS teatrul mic Pipera #14,Entertainment,Teatrul Mic
Cumparare Telekom Mobile AFI Cotroceni #4321,Utilities,Telekom Mobile
Cumparare SETAPP Iasi #4321,Subscriptions,Setapp
PURCHASE MOL Romania Oradea RO,Transport,MOL Romania
POS CEC virament Constanta #221,Transfer,CEC virament
PURCHASE DECONT SALARIAL Aviatorilor #001,Salary,Decont salarial
Cumparare Netlify Pro Bucuresti #221,Subscriptions,Netlify Pro
Plata POS figma professional Vitan #14,Subscriptions,Figma Professional
Cumparare Carwash Express Mall RID:34521,Transport,Carwash Express
Plata cu cardul NETFLIX Sun Plaza (RO),Subscriptions,Netflix
PMT Amazon.com Downtown #221,Other,Amazon.com
Cumparare universitatea cluj EU,Education,Universitatea Cluj
Achizitie direct deposit tech Promenada,Salary,Direct Deposit Tech
Farmacia Sensiblu Aviatorilor RID:34521,Health,Farmacia Sensiblu
Achizitie STEAK HOUSE BUCURESTI Branch 12 #14,Restaurants,Steak House Bucuresti
PMT POS manual editura niculescu Sibiu #4321,Education,Manual Editura Niculescu
PURCHASE TREEHOUSE RO,Education,Treehouse
CHIRIE STUDIO Oradea,Housing,Chirie studio
Plata cu cardul pc garage Galati RID:34521,Other,PC Garage
PMT gaze naturale romania Promenada #221,Utilities,Gaze Naturale Romania
PMT Termoficare CET Cotroceni AUT:887412,Utilities,Termoficare CET
POS BURGERFEST Online #221,Restaurants,BurgerFest
Aquapark Therme Sun Plaza (RO),Entertainment,Aquapark Therme
Cumparare CINEMA CITY AFI ROM,Entertainment,Cinema City AFI
PURCHASE iCloud Store 04 #221,Subscriptions,iCloud
ASIGURARE LOCUINTA AFI Cotroceni AUT:887412,Housing,Asigurare locuinta
Achizitie ETF VWCE Baneasa #001,Investments,ETF VWCE
PURCHASE Tour ghidat Roma Store 04 12345,Travel,Tour ghidat Roma
PURCHASE Domino's Center #001,Restaurants,Domino's
PURCHASE TAXI COBALCESCU Cotroceni RID:34521,Transport,Taxi Cobalcescu
PMT POS APA NOVA Sibiu RID:34521,Utilities,Apa Nova
PMT ANSWEAR.RO Aviatorilor #4321,Other,Answear.ro
PURCHASE FLORARIE DIANA Timisoara RO,Other,Florarie Diana
SUBWAY SANDWICH Constanta #14,Restaurants,SUBWAY SANDWICH
Cumparare SNCF Sun Plaza #001,Transport,SNCF
Plata POS mic.ro RO 12345,Groceries,Mic.ro
POS CHIRIE STUDIO Downtown (RO),Housing,Chirie studio
Achizitie Emirates Mall #221,Travel,Emirates
PMT POS ING HOME'BANK TRANSFER Branch 12 (RO),Transfer,ING Home'Bank transfer
Plata cu cardul HIDROELECTRICA VANZARE Sibiu 12345,Utilities,Hidroelectrica vanzare
Plata POS Centrul Medical Pluton Sibiu (RO),Health,Centrul Medical Pluton
PURCHASE TucanoCoffee Cluj,Restaurants,TucanoCoffee
Achizitie Dunkin Donuts Cluj RID:34521,Restaurants,Dunkin Donuts
PURCHASE salon coafor Cotroceni (RO),Other,Salon Coafor
Plata cu cardul FACTURA GAZE Mall #4321,Utilities,Factura gaze
PURCHASE brd transfer extern AFI Cotroceni 12345,Transfer,BRD transfer extern
Plata cu cardul socar Constanta #001,Transport,SOCAR
Cinema City Oradea,Entertainment,Cinema City
PMT POS universitate tehnica Mall Vitan #221,Education,Universitate Tehnica
Achizitie Trivago Baneasa (RO),Travel,Trivago
Achizitie Udemy Business Aviatorilor AUT:887412,Education,Udemy Business
escape room adventure Drumul Taberei #4321,Entertainment,Escape Room Adventure
Cumparare lime scooter Online #221,Transport,Lime Scooter
PMT POS ADIDAS STORE EU #001,Other,Adidas store
PMT ACHIZITIE DIVERSA AFI Cotroceni,Other,Achizitie diversa
Cumparare DM Brasov #221,Groceries,DM
Cumparare twitch subscription Sibiu,Entertainment,Twitch subscription
Achizitie bonus performanta q1 Constanta AUT:887412,Salary,Bonus performanta Q1
Achizitie broker bt capital Pipera 12345,Investments,Broker BT Capital
Plata POS whole foods market Bucuresti #4321,Groceries,Whole Foods Market
PMT tv cablu romtelecom Ploiesti 12345,Utilities,TV Cablu Romtelecom
PMT DB Bahn Pipera,Transport,DB Bahn
Plata cu cardul Metro Cash & Carry Sun Plaza (RO),Groceries,Metro Cash & Carry
Plata cu cardul SPRINGTIME Mall (RO),Restaurants,Springtime
PURCHASE CURSURI ONLINE IT Iasi RID:34521,Education,Cursuri online IT
PURCHASE Salubritate URBAN RO #4321,Utilities,Salubritate URBAN
POS BURSA DE STUDII Aviatorilor #001,Education,Bursa de studii
POS factura internet Constanta 12345,Utilities,Factura internet
PMT curatenie apartament Floreasca 12345,Housing,Curatenie apartament
PMT POS bistro french RO #221,Restaurants,Bistro French
PURCHASE coursera Oradea (RO),Education,Coursera
Plata cu cardul BK Cotroceni (RO),Restaurants,BK
Plata POS Rezervare Airbnb Cluj Mall #14,Travel,Rezervare Airbnb Cluj
Plata POS Plata freelance proiect Mall Vitan #4321,Salary,Plata freelance proiect
Achizitie CABINET FAMILIE DR. POPESCU ROM #14,Health,Cabinet Familie Dr. Popescu
Amazon DE Bucharest (RO),Other,Amazon DE
Plata cu cardul Asociatie locatari ROM RID:34521,Housing,Asociatie locatari
PROFI LOCO Oradea RO,Groceries,Profi Loco
PMT cabinet veterinar pet doctor Bucuresti #14,Other,Cabinet Veterinar Pet Doctor
PURCHASE cablu tv + internet Timisoara RID:34521,Utilities,Cablu TV + Internet
Achizitie Salariu ore suplimentare Store 04 RID:34521,Salary,Salariu ore suplimentare
POS Reteaua Regina Maria Floreasca #14,Health,Reteaua Regina Maria
POS Burger Van Sun Plaza (RO),Restaurants,Burger Van
DB BAHN Brasov (RO),Transport,DB Bahn
OPENAI PLUS Aviatorilor RID:34521,Subscriptions,OpenAI Plus
Cumparare RCS RDS Mall Vitan #14,Utilities,RCS RDS
POS TICHET CULTURAL EDENRED Store 04 #14,Other,Tichet cultural Edenred
Plata cu cardul Asigurare locuinta Baneasa #4321,Housing,Asigurare locuinta
Plata POS Penny Market Promenada #221,Groceries,Penny Market
Plata cu cardul Air France AFI Cotroceni RO,Travel,Air France
PMT TELEKOM MOBILE Mall Vitan #14,Utilities,Telekom Mobile
POS DRUMURI NATIONALE Store 04,Transport,Drumuri Nationale
Cumparare PAYPAL PAYOUT ROM #001,Transfer,PayPal payout
Plata POS comision agentie imobiliara Center 12345,Housing,Comision agentie imobiliara
PMT Real estate REIT Bucuresti #221,Investments,Real estate REIT
Achizitie CAUCIUCURI PREMIUM Brasov AUT:887412,Transport,Cauciucuri Premium
Imobiliare.ro listare ROM RO,Housing,Imobiliare.ro listare
PMT ase bucuresti Baneasa #221,Education,ASE Bucuresti
PMT RESERVED RO ROM,Other,Reserved RO
PMT E.ON ENERGIE ROMANIA Cluj (RO),Utilities,E.ON Energie Romania
POS ESCAPE ROOM LOGICA Timisoara AUT:887412,Entertainment,Escape Room Logica
PMT POS BUMBLE PREMIUM Downtown #4321,Subscriptions,Bumble Premium
Cumparare P2P crypto exchange Vitan #001,Investments,P2P crypto exchange
POS facultatea de informatica Constanta (RO),Education,Facultatea de Informatica
PMT Garantie chirie Online RID:34521,Housing,Garantie chirie
PURCHASE Patiseria Simigerie Center #14,Groceries,Patiseria Simigerie
Achizitie APASERV BRASOV Mall RID:34521,Utilities,ApaServ Brasov
PURCHASE Wise FX Bucharest RO,Transfer,Wise FX
Cumparare BISTROTECA Park Lake #4321,Restaurants,Bistroteca
PMT POS Microsoft 365 Family Mall Vitan #4321,Subscriptions,Microsoft 365 Family
Cumparare Hollywood Multiplex Online 12345,Entertainment,Hollywood Multiplex
Plata POS BOOKING RO Aviatorilor (RO),Travel,Booking RO
PURCHASE RAT Sibiu Promenada (RO),Transport,RAT Sibiu
POS electrica distributie Bucharest RO,Utilities,Electrica Distributie
PMT INCASARE DE LA ION ROM AUT:887412,Transfer,Incasare de la Ion
Florarie Diana Store 04 #221,Other,Florarie Diana
PMT POS Bilete fotbal Steaua Store 04 12345,Entertainment,Bilete fotbal Steaua
Plata POS TRATTORIA IL CALCIO Bucuresti AUT:887412,Restaurants,Trattoria il Calcio
PMT POS Squarespace Plan Cotroceni #4321,Subscriptions,Squarespace Plan
PURCHASE mcdonalds Mall AUT:887412,Restaurants,McDonalds
Plata POS iCloud Pipera RID:34521,Subscriptions,iCloud
Plata POS Pluralsight Mall #14,Education,Pluralsight
PURCHASE PRET A MANGER Constanta #221,Restaurants,Pret a Manger
PURCHASE eon.ro factura Floreasca,Utilities,EON.RO factura
PMT CALM APP Mall (RO),Subscriptions,Calm app
Plata POS TAROM BILET ONLINE Cotroceni 12345,Travel,TAROM bilet online
PMT memrise Pipera #001,Education,Memrise
Achizitie ACUARELA CAFE Center RO,Restaurants,Acuarela Cafe
PURCHASE plata diversa Drumul Taberei #221,Other,Plata diversa
PMT Storia.ro listare Promenada RO,Housing,Storia.ro listare
Achizitie apometru index Online,Utilities,Apometru index
PURCHASE bt transfer RO #4321,Transfer,BT transfer
PURCHASE Service Laptop Galati (RO),Other,Service Laptop
PURCHASE florarie diana Downtown (RO),Other,Florarie Diana
PURCHASE BOLT FOOD Store 04 RID:34521,Restaurants,Bolt Food
Achizitie whole foods market Baneasa RID:34521,Groceries,Whole Foods Market
Achizitie Cinemax Branch 12 #14,Entertainment,Cinemax
PMT POS TAXI CRIS Baneasa,Transport,Taxi Cris
Cumparare încasare salariu maria Sun Plaza RO,Transfer,Încasare salariu Maria
PMT salubritate urban Pipera,Utilities,Salubritate URBAN
Cumparare LINEAR APP Drumul Taberei,Subscriptions,Linear App
PMT Restaurant Hanu' Berarilor Galati RO,Restaurants,Restaurant Hanu' Berarilor
Plata POS Black Cab RO RO,Transport,Black Cab
Plata POS Stripe internal transfer Store 04 12345,Transfer,Stripe internal transfer
Plata cu cardul RAT Sibiu Timisoara RID:34521,Transport,RAT Sibiu
PMT CASA RUSU MOBILIER Vitan AUT:887412,Other,Casa Rusu mobilier
PURCHASE DEGIRO transfer RO #001,Investments,DEGIRO transfer
PMT PULL&BEAR Galati AUT:887412,Other,Pull&Bear
POS STB Abonament Online Bucharest #001,Transport,STB Abonament Online
PMT POS asociatie locatari Iasi,Housing,Asociatie locatari
Cumparare Strava Premium Baneasa #14,Subscriptions,Strava Premium
PMT POS Magazin Mixt Pipera RID:34521,Groceries,Magazin Mixt
Plata cu cardul asociatie locatari EU (RO),Housing,Asociatie locatari
POS PC Garage Drumul Taberei 12345,Other,PC Garage
PMT EDX MICROSOFT Drumul Taberei #001,Education,edX Microsoft
POS TucanoCoffee Store 04 #14,Restaurants,TucanoCoffee
Plata POS DB Bahn Sun Plaza AUT:887412,Transport,DB Bahn
POS epic games Branch 12 #221,Entertainment,Epic Games
Achizitie Trading212 deposit RO RO,Investments,Trading212 deposit
POS Tichete masa Up ROM AUT:887412,Salary,Tichete masa Up
PURCHASE Auchan Constanta,Groceries,Auchan
PURCHASE Cafenea Origo Sun Plaza #221,Restaurants,Cafenea Origo
PMT olx imobiliare Drumul Taberei 12345,Housing,OLX Imobiliare
Achizitie Telekom Romania Constanta #14,Utilities,Telekom Romania
POS Eventim Ploiesti,Entertainment,Eventim
CARTURESTI Cluj #4321,Education,Carturesti
Plata POS DataCamp Premium Galati #001,Education,DataCamp Premium
Plata POS Duolingo Super Online AUT:887412,Subscriptions,Duolingo Super
PURCHASE BIO ROMANIA Aviatorilor (RO),Groceries,Bio Romania
PMT Plata chirie iulie Ploiesti 12345,Housing,Plata chirie iulie
Cumparare Transfer in EUR Center #221,Transfer,Transfer in EUR
Plata POS TRANSFER BCR TO ING AFI Cotroceni RO,Transfer,Transfer BCR to ING
POS STB Abonament Online Bucharest #4321,Transport,STB Abonament Online
Cumparare Hertz Rent a Car Floreasca,Travel,Hertz Rent a Car
PURCHASE Property Manager fees Branch 12 #14,Housing,Property Manager fees
Plata POS CFR Calatori Pipera,Transport,CFR Calatori
Cumparare Transfer cont curent ROM 12345,Transfer,Transfer cont curent
iService Apple Park Lake #14,Other,iService Apple
Cumparare cablu tv + internet Pipera (RO),Utilities,Cablu TV + Internet
Cumparare SERVICE GSM Constanta AUT:887412,Other,Service GSM
Plata POS Card preplatit Up Bucharest #221,Other,Card preplatit Up
PMT escape room adventure Aviatorilor #14,Entertainment,Escape Room Adventure
Cumparare ESCAPE ROOM LOGICA Drumul Taberei #4321,Entertainment,Escape Room Logica
PMT TESCO Constanta (RO),Groceries,Tesco
PMT POS Arby's Mall (RO),Restaurants,Arby's
Achizitie MAGAZIN MIXT Cotroceni,Groceries,Magazin Mixt
Plata cu cardul Rompetrol Statie Timisoara #14,Transport,Rompetrol Statie
Anaida Restaurant Drumul Taberei 12345,Restaurants,Anaida Restaurant
Plata POS auchan Bucharest RO,Groceries,Auchan
Achizitie BLACK CAB Galati RID:34521,Transport,Black Cab
PMT POS TAZZ Sun Plaza 12345,Restaurants,Tazz
Cumparare ApaServ Brasov Galati AUT:887412,Utilities,ApaServ Brasov
